workload,target_load,policy,policy_label,norm_latency_mean_mean,norm_latency_mean_std,norm_latency_mean_count,norm_latency_p95_mean,norm_latency_p95_std,norm_latency_p95_count,latency_p99_mean,latency_p99_std,latency_p99_count,ttft_p95_mean,ttft_p95_std,ttft_p95_count,slo_both_attain_mean,slo_both_attain_std,slo_both_attain_count,utilisation_mean,utilisation_std,utilisation_count,throughput_rps_mean,throughput_rps_std,throughput_rps_count
code,0.6,cb_sjf_work,CB-SJF-Work (proposed),1129.4523233148602,285.7045644553616,11,4620.443570039166,1095.718961015179,11,32789.31368260434,6774.224470494875,11,7527.172626240871,1531.37761307434,11,0.34525252525252526,0.11109732793298678,11,0.7105351891600594,0.03436397457717741,11,0.762422497979241,0.07122966332407218,11
code,0.6,fcfs,FCFS (engine default),1160.858367268742,272.83334523444864,11,4782.718024509407,1024.0239677491002,11,32594.566770343194,6578.841462791013,11,8074.911147238107,1297.310322520751,11,0.342,0.10923695221121404,11,0.7105183701893133,0.03434671735406954,11,0.7624224727523621,0.07122965251505971,11
code,0.6,oracle_sjf,Oracle-SJF (true output length),1125.3896398663671,288.24238012980356,11,4622.033998199477,1093.5726440018918,11,34031.611465620015,8035.330905037844,11,7808.314922950275,1422.8697529675233,11,0.34470707070707074,0.11092263762459946,11,0.7105454493844632,0.03436550606372986,11,0.7624223844584251,0.07122961468433682,11
code,0.6,oracle_work,Oracle-Work (true total work),1127.3841739682919,287.2660888948746,11,4621.154519548857,1096.5413347569656,11,32834.93195945932,6812.084535813757,11,7528.2148011104155,1532.3749394319814,11,0.3451717171717172,0.1111196564895761,11,0.7105352693793165,0.034363930655013836,11,0.762422497979241,0.07122966332407218,11
code,0.6,predicted_sjf,SJF-Pred (predicted output length),1164.1336980231354,269.15552371947393,11,4731.078889222391,1060.5421330172935,11,33969.81585767279,8178.075645279958,11,7823.315505132975,1396.79090272728,11,0.3436212121212121,0.11016477226527717,11,0.7105251218006488,0.03435065730431312,11,0.762422497979241,0.0712296633240722,11
code,0.6,sjf_context,SJF-Ctx (prefill proxy),1129.4976117144406,286.40713718370444,11,4622.895089792366,1094.720701702115,11,32783.360625458794,6803.25484611566,11,7528.718243228163,1533.9800611225148,11,0.34514141414141414,0.11113042433159884,11,0.7105342534165824,0.03436285714839091,11,0.762422497979241,0.07122966332407218,11
code,0.75,cb_sjf_work,CB-SJF-Work (proposed),1639.8353514810428,266.74289331297575,11,5574.07595558175,1055.7001134297846,11,78650.34160343501,33605.6227984603,11,9079.117065505667,1385.2530121804114,11,0.2489090909090909,0.08097478754361068,11,0.8441969576617823,0.0294581345976156,11,0.952863386282885,0.0889415397066572,11
code,0.75,fcfs,FCFS (engine default),2126.4358944707164,564.4942463955284,11,8041.6170445958205,2009.4792907793267,11,73470.74947656244,28071.593478286337,11,22247.38354069724,19112.872734115863,11,0.22996464646464645,0.07372730566383758,11,0.8440577843132879,0.02939242026228175,11,0.9528642247068126,0.08894173173541464,11
code,0.75,oracle_sjf,Oracle-SJF (true output length),1499.0798107434903,286.43413345189407,11,5395.9754931194475,1061.416832722274,11,99498.837278597,51683.3072841625,11,12003.939467418315,2406.9773823906717,11,0.2467929292929293,0.07983505793741122,11,0.8442532960883866,0.029506186840262613,11,0.9528625549024791,0.08894150800972456,11
code,0.75,oracle_work,Oracle-Work (true total work),1545.7793292577203,266.26963738315095,11,5559.606694631423,1055.852122029902,11,77737.58228729661,31721.49362349093,11,9105.767855014912,1373.250832474899,11,0.24894444444444447,0.0808704305862772,11,0.8441789288540165,0.0294377986504037,11,0.9528631217741285,0.08894149288300247,11
code,0.75,predicted_sjf,SJF-Pred (predicted output length),2282.557817037186,718.0962493066984,11,6611.7617263526245,891.1695874850749,11,133520.51309181514,103253.89162694804,11,15633.317996840213,8384.328094760349,11,0.2400808080808081,0.07762110157458522,11,0.8440941736870186,0.029397000013047167,11,0.9528642247068128,0.08894173173541467,11
code,0.75,sjf_context,SJF-Ctx (prefill proxy),1641.1256725198252,267.9881077324515,11,5578.766686029188,1048.0703353377262,11,79176.58046897156,34242.18349578127,11,9105.533037723182,1364.451508686077,11,0.24915151515151515,0.0810981538010816,11,0.8441988630014902,0.029458076187839636,11,0.9528634238068268,0.088941544735716,11
code,0.85,cb_sjf_work,CB-SJF-Work (proposed),2803.442944270079,1284.5302760730797,11,6142.092230352957,924.9750845501887,11,204300.82816511893,157851.22426951546,11,11084.790503479297,1572.9882563068243,11,0.18983333333333335,0.057389265353180625,11,0.9155511548915277,0.02233385657855183,11,1.0784238262047903,0.09955821216882516,11
code,0.85,fcfs,FCFS (engine default),5362.231683084607,4016.5933489650224,11,24386.708479820503,23569.927664898798,11,140149.91192235862,63194.36707976352,11,65309.97650157532,54201.35930194198,11,0.14613131313131314,0.04957461188611374,11,0.915226992380731,0.022245934003009983,11,1.0784846416162346,0.09962139115946778,11
code,0.85,oracle_sjf,Oracle-SJF (true output length),1812.3646470537622,283.0961135584654,11,5766.319438481164,938.4969158672279,11,358052.21633410844,328209.7157647472,11,38332.73905806779,32671.396530511178,11,0.18371717171717172,0.05617926803658822,11,0.9157327404669079,0.022272280482156345,11,1.0784935696356925,0.09962284392502266,11
code,0.85,oracle_work,Oracle-Work (true total work),2108.6311979940965,439.789446864797,11,6089.0032386262,953.8737511127966,11,199402.9407471814,143174.18981148343,11,10956.371052415156,1497.8462658367375,11,0.18987878787878787,0.05721826749107435,11,0.9156030044208854,0.0223878639821302,11,1.0783975188333634,0.09953634557291215,11
code,0.85,predicted_sjf,SJF-Pred (predicted output length),7331.638140029137,8250.012112475073,11,18008.302574955687,20325.339218364265,11,644957.6446705838,796590.260495117,11,116482.38591669002,182038.5969554644,11,0.16934848484848486,0.053216835095655626,11,0.915338740196984,0.02223186807578353,11,1.078478616385876,0.09961107149197926,11
code,0.85,sjf_context,SJF-Ctx (prefill proxy),2809.21169493898,1324.1109745629103,11,6161.125212644963,921.4510242585303,11,205953.67614488432,162642.23708780896,11,11176.579536394132,1591.1750991572887,11,0.18982828282828282,0.057407560986000715,11,0.9155667736614905,0.02233565501322977,11,1.0784218525403426,0.09955772527778989,11
code,0.92,cb_sjf_work,CB-SJF-Work (proposed),6327.278730484151,5542.116622327243,11,6796.356917595887,1022.6191130316961,11,555622.1151349065,616226.00202909,11,16699.337348196554,6619.787506971145,11,0.15373737373737373,0.03922341901627903,11,0.9554805881999889,0.016608524152194756,11,1.1603097538920357,0.10379951159198161,11
code,0.92,fcfs,FCFS (engine default),16724.392813226223,16657.02571946687,11,90505.79530770982,103109.37427697174,11,270723.5217180285,168414.0607020217,11,190838.2946109131,173275.9356683988,11,0.08595959595959596,0.0345062357122637,11,0.9551376216441263,0.016523568168332416,11,1.1605478233154438,0.1039115068488837,11
code,0.92,oracle_sjf,Oracle-SJF (true output length),2288.851880049199,668.8389244290605,11,7185.803861371242,3057.5114323956805,11,1261490.296643,1471184.088325121,11,158477.79952351205,198289.4840769301,11,0.14368686868686867,0.03815485239052513,11,0.9555873864752752,0.016394146507533604,11,1.1604630724374427,0.10379063614224422,11
code,0.92,oracle_work,Oracle-Work (true total work),3676.450607761889,2769.016040558008,11,6776.893246521967,1008.757759108213,11,527521.9680851196,564380.8645334962,11,16199.417455384457,6037.856025115637,11,0.15346969696969695,0.04017310048085247,11,0.9554531949418616,0.016527751086718275,11,1.1602744030591197,0.10375948046137587,11
code,0.92,predicted_sjf,SJF-Pred (predicted output length),23080.905911270263,28340.042503308934,11,80076.79706921954,118616.77433648193,11,1881979.0823695376,1992053.4515384724,11,617780.9343847815,973985.561862098,11,0.12156565656565656,0.03582638018829399,11,0.9552523551732246,0.01652787012415123,11,1.1604712731907438,0.10388994825385917,11
code,0.92,sjf_context,SJF-Ctx (prefill proxy),6336.993489561646,5518.900002140834,11,6896.364839925175,1043.3699470198744,11,562334.6017026282,604148.9370028302,11,17065.768052515232,6922.695319907451,11,0.1541262626262626,0.039406892068983006,11,0.9554893528183407,0.016610029959223727,11,1.1603398696216225,0.103788026738043,11
code,0.98,cb_sjf_work,CB-SJF-Work (proposed),15196.121280265186,11056.911707762229,11,9383.152337264139,4322.191626974569,11,1742693.0081608666,1488625.0233745505,11,37059.996715363515,30271.378646064466,11,0.13374242424242422,0.026685239744136082,11,0.9815675880902333,0.009902832812197632,11,1.2211850089619378,0.09924560960124215,11
code,0.98,fcfs,FCFS (engine default),45323.85431125297,36672.68027303891,11,226037.50340583271,181741.53184882196,11,475725.36578716716,280212.031747366,11,393155.8116354462,283968.6768471307,11,0.0403939393939394,0.024942433160011445,11,0.9810987249079871,0.009987653699026997,11,1.221940511563393,0.10026922706113021,11
code,0.98,oracle_sjf,Oracle-SJF (true output length),3249.7322618071153,1469.2241508384693,11,11623.588699153268,8675.526879140905,11,3108034.1913916226,2160458.7300821748,11,577034.6823879802,751397.6550959727,11,0.11375757575757577,0.024188716284885028,11,0.9814977201229378,0.009802752060478802,11,1.2218641775297192,0.100113153056572,11
code,0.98,oracle_work,Oracle-Work (true total work),7393.165098059271,7743.561492841641,11,9466.454093963433,4216.162133777162,11,1573647.4600069376,1475756.380510461,11,34032.82609295023,26475.791450076576,11,0.1312979797979798,0.025893720015698844,11,0.9816200372413075,0.00980006856327108,11,1.2211720614908013,0.09926441189500113,11
code,0.98,predicted_sjf,SJF-Pred (predicted output length),65247.31168467657,67228.95014141666,11,249433.19640636,320653.90788062627,11,4561881.193314741,3249283.759936108,11,1888992.9083692005,2426544.792762007,11,0.08997979797979798,0.022694227154233432,11,0.9813142243308487,0.009908601267621258,11,1.2217206046088644,0.10005557206943563,11
code,0.98,sjf_context,SJF-Ctx (prefill proxy),15618.613248370653,11164.114369467881,11,9849.165404796782,5113.631179954225,11,1772062.1271603762,1497787.9172756243,11,38096.07476343039,30667.18640817635,11,0.13434848484848486,0.025382312434287475,11,0.981577220975815,0.009891080272180783,11,1.2212193274182195,0.09924169425565026,11
conv,0.6,cb_sjf_work,CB-SJF-Work (proposed),223.20233436403615,28.778856879244167,20,996.2935090486035,142.21998776503042,20,28729.63463061756,2059.3887263308793,20,4841.674167807725,545.5403417209387,20,0.5427333333333333,0.06862082015732775,20,0.9126079639687894,0.007659222912204327,20,0.9657013579986093,0.07344846637521957,20
conv,0.6,fcfs,FCFS (engine default),224.09577136061344,28.517353467117093,20,1002.902881289717,141.93920186273155,20,28743.422641119418,2074.637473208503,20,4903.008482055855,549.4177284603978,20,0.5406888888888889,0.068075492723532,20,0.9126027331391411,0.007662753356224842,20,0.9657013467964595,0.07344846251526706,20
conv,0.6,oracle_sjf,Oracle-SJF (true output length),223.01593187651787,28.75400897042697,20,995.760446721689,141.71122426363198,20,28776.68424592315,2095.046402704136,20,4868.614567143251,553.5120375200725,20,0.5419583333333333,0.06847203361657474,20,0.9126084732488261,0.007660879177585023,20,0.9657013667616374,0.07344845662595406,20
conv,0.6,oracle_work,Oracle-Work (true total work),223.1676269715644,28.78285337828857,20,996.4283529938008,142.45537813188304,20,28737.46996418442,2067.345932742668,20,4841.900490825233,545.3574584403494,20,0.5426555555555556,0.06861953709181705,20,0.9126094561500823,0.007658831430571866,20,0.9657013579986093,0.07344846637521957,20
conv,0.6,predicted_sjf,SJF-Pred (predicted output length),223.31222840907694,28.799602006526804,20,996.6035301563955,141.66680043228246,20,28755.239434957934,2084.76755876008,20,4856.6346706168915,550.4352532925019,20,0.5422666666666667,0.06853464522299249,20,0.9126051250301647,0.007662784781966665,20,0.9657013480160076,0.0734484693198028,20
conv,0.6,sjf_context,SJF-Ctx (prefill proxy),223.2012027213663,28.77952889822687,20,996.1482446763924,142.11732311242235,20,28730.819096030442,2060.1108655729595,20,4841.894469550165,545.1926069223258,20,0.5427055555555556,0.06863870600698412,20,0.912607824167844,0.007659416430868819,20,0.9657013579986093,0.07344846637521957,20
conv,0.75,cb_sjf_work,CB-SJF-Work (proposed),284.24743746927845,30.589419233397486,20,1212.8425219381584,142.52927399607984,20,45722.123997031114,3487.7015471015093,20,5563.420707096766,549.4861049271643,20,0.44900277777777775,0.06139771568676603,20,0.9687175169416398,0.0038364509323524742,20,1.2069096509777153,0.09180103627859708,20
conv,0.75,fcfs,FCFS (engine default),299.51708633253884,31.536368344369865,20,1301.7038573265413,130.68279809523483,20,45664.65218875705,3676.700665624537,20,6446.751209621539,751.1342611316677,20,0.4270194444444445,0.05797561797063763,20,0.968691198142056,0.003817822885829978,20,1.206909873545224,0.09180080240140782,20
conv,0.75,oracle_sjf,Oracle-SJF (true output length),279.7574741267823,30.79878171411427,20,1182.9121155745358,144.9142472608121,20,46447.67234256259,3850.7575989456695,20,5755.190369785678,564.0207291776677,20,0.44318888888888885,0.060540293693488394,20,0.9687646584386869,0.0038362269949353913,20,1.2069079168412797,0.09180216343879058,20
conv,0.75,oracle_work,Oracle-Work (true total work),282.9902584228287,30.674208775433495,20,1208.6533866405566,142.9739346505609,20,45866.89961735981,3609.425326164467,20,5565.264240463872,549.2487576992191,20,0.4486944444444444,0.06121300251101277,20,0.9687287681398992,0.0038362351642064027,20,1.2069096893545377,0.09180108388957912,20
conv,0.75,predicted_sjf,SJF-Pred (predicted output length),285.2666063425767,29.843129450530093,20,1215.020073667993,142.0146164487841,20,46514.58870597234,4069.9742990892864,20,5682.596365305382,542.2722075375531,20,0.4461388888888889,0.06035104287059628,20,0.9687093657380063,0.0038183341993545767,20,1.206909644931882,0.09180099806243792,20
conv,0.75,sjf_context,SJF-Ctx (prefill proxy),284.244076572449,30.568416531330413,20,1212.8466971551227,142.9812210827553,20,45726.57260912501,3513.2613301619135,20,5563.220785314577,548.8968962532729,20,0.44905277777777775,0.06144335646964619,20,0.9687203998958681,0.0038402362118862936,20,1.2069096509777153,0.09180103627859708,20
conv,0.85,cb_sjf_work,CB-SJF-Work (proposed),335.66370806553647,25.893013316113564,20,1268.3205053083052,140.1590643936893,20,66231.14086787432,7107.959745221171,20,6222.687198759037,499.39087281075194,20,0.38639444444444443,0.05057013124502499,20,0.9870253932533247,0.0023300103420370822,20,1.3672477775297422,0.10374760418622676,20
conv,0.85,fcfs,FCFS (engine default),456.2975088185598,94.60548221793164,20,1919.5935366424405,333.81224950233565,20,68048.36406576137,8965.725879327976,20,17642.17969009269,9857.503363003574,20,0.3068444444444444,0.04687522874104898,20,0.9869762127229104,0.00231996269835367,20,1.367273253029763,0.10377571658396284,20
conv,0.85,oracle_sjf,Oracle-SJF (true output length),297.1536725584168,28.26388692571204,20,1137.8587655340527,141.29105448160786,20,71561.43748947668,9577.867306135939,20,6918.858962964795,606.8124864023407,20,0.3702916666666667,0.048492813033009875,20,0.9870749105073215,0.002323633164169607,20,1.367237289889727,0.10376637669420585,20
conv,0.85,oracle_work,Oracle-Work (true total work),322.79684418716437,26.353767638760726,20,1244.1370481229483,137.05000409335415,20,66551.13378220778,7153.959323318925,20,6211.1355821169045,504.8476240286127,20,0.38587777777777776,0.050748992442393656,20,0.9870535193031944,0.002322934316215452,20,1.3672600920208224,0.10375729072845545,20
conv,0.85,predicted_sjf,SJF-Pred (predicted output length),341.18006822572266,30.222181688742786,20,1281.5481710528857,132.39856113911316,20,72695.4008587318,11513.070328820655,20,6811.559230613061,592.3279396738595,20,0.37844444444444447,0.0490221866997374,20,0.9870042557098377,0.0023127739456534884,20,1.367275542483657,0.10378874799059673,20
conv,0.85,sjf_context,SJF-Ctx (prefill proxy),335.9551640579801,25.44813077926405,20,1267.2979685223586,138.67734001437043,20,66157.73593595522,7002.275728143526,20,6225.483404807107,505.34136970844287,20,0.3864388888888889,0.050685860925171196,20,0.9870231418145767,0.0023335150243371794,20,1.3672513759946345,0.10374947148732015,20
conv,0.92,cb_sjf_work,CB-SJF-Work (proposed),505.63760435038773,253.24509174928,20,1231.407977238853,114.12362592115916,20,103528.38451807883,31614.265726194044,20,7536.910733521382,732.3150030543846,20,0.345075,0.04190008798671367,20,0.9943017078232202,0.001446661595661661,20,1.4778624472100916,0.11108727017218023,20
conv,0.92,fcfs,FCFS (engine default),1161.1281938692941,921.4363269805654,20,5254.49999479871,5000.840687857595,20,104198.04004064888,31012.36113202739,20,51711.50719036766,35003.61076748379,20,0.18768333333333334,0.042947703438825056,20,0.9942058786843659,0.0014649943993210993,20,1.4779467911912536,0.11111634265817132,20
conv,0.92,oracle_sjf,Oracle-SJF (true output length),287.45032536989595,22.990378947861952,20,956.9871598928951,110.94045938373849,20,129401.99127607113,51795.1232728223,20,9962.127922514504,2200.3311890140517,20,0.3189194444444444,0.0372474928400825,20,0.9943576303644897,0.0014502983181288905,20,1.477764246734776,0.11101213284415312,20
conv,0.92,oracle_work,Oracle-Work (true total work),435.97353393060746,184.38666820485943,20,1176.4075164478384,112.75902383984298,20,102132.56752009863,27389.19426240716,20,7484.5723562291405,741.6656374083217,20,0.3436638888888889,0.04111929535652677,20,0.9943377096332353,0.0014230080150429711,20,1.4778333173501959,0.11108047705258746,20
conv,0.92,predicted_sjf,SJF-Pred (predicted output length),529.4023530222231,240.18822276439957,20,1297.2527489435124,91.99983896305638,20,206507.16269256934,210241.29949927394,20,10781.739261059365,2982.5738928123837,20,0.3301861111111111,0.03759632754710544,20,0.9942538510130634,0.001454285039138268,20,1.4779322051957444,0.11116855699803042,20
conv,0.92,sjf_context,SJF-Ctx (prefill proxy),505.05668111981987,254.19482926501934,20,1231.185197647542,111.5987118137643,20,103055.93945964884,31091.174067952485,20,7550.237825343496,714.7702615663757,20,0.3450833333333333,0.04197671969974713,20,0.9942992368456643,0.0014481894769213498,20,1.477870211539932,0.11109681882482811,20
conv,0.98,cb_sjf_work,CB-SJF-Work (proposed),1213.4821450039958,807.8507690778164,20,1216.7661733723332,105.53971560335286,20,431171.9485050609,500700.23025334143,20,12005.444094679262,2122.6953722017797,20,0.3110111111111111,0.03809243997312212,20,0.9983020372285388,0.0009477980573798769,20,1.5662365268868632,0.11607957688409838,20
conv,0.98,fcfs,FCFS (engine default),4280.419099496755,3404.34052694019,20,22008.049010129303,17156.18949485914,20,195807.92013019384,92374.1836692585,20,144305.295760838,94795.4723280309,20,0.06750277777777777,0.040600041591025274,20,0.9982273335090313,0.0009513665394220737,20,1.5669651445694588,0.11597460823133568,20
conv,0.98,oracle_sjf,Oracle-SJF (true output length),279.592229101209,25.478376188306214,20,814.4336165410601,74.73306285481246,20,519231.2039226374,616414.3420918331,20,18603.12981933033,5001.837959586892,20,0.27365555555555554,0.027747167929991563,20,0.9983158301583256,0.0009403531596017293,20,1.5662618074703345,0.11595926523530445,20
conv,0.98,oracle_work,Oracle-Work (true total work),880.838711655317,589.4201290638672,20,1113.520910239196,93.57046209946803,20,384981.79369919206,422664.88187548344,20,11569.78223255703,2041.2164725836287,20,0.3083694444444444,0.036787291728035104,20,0.99831276963282,0.0009467517216759905,20,1.5661454189757722,0.11596191536874018,20
conv,0.98,predicted_sjf,SJF-Pred (predicted output length),1317.318428378539,897.1599619096869,20,1448.8471470521586,272.00902555966013,20,926272.1747331297,1012162.5246851583,20,28207.395864039085,14446.18285855344,20,0.28949166666666665,0.03306778865979101,20,0.9982871836234046,0.0009548643346257747,20,1.566425285545149,0.11604934896481756,20
conv,0.98,sjf_context,SJF-Ctx (prefill proxy),1219.1157251096313,811.0493649908321,20,1214.2286493770966,106.1916929273428,20,428585.1161325043,497971.5549425212,20,11963.382462297352,2130.6968572462756,20,0.3106527777777778,0.03846928124380809,20,0.998301150785372,0.0009493560906498795,20,1.5662466150830485,0.11609245455406393,20
