workload,cache_hit,clamped_frac,prefill_share_pct,prefill_time_share_pct,improvement_pct,oracle_gap_recovered_pct,cb_over_oracle_ratio,predictor_gain_pct,cb_over_cacheaware_oracle_ratio,oracle_gap_recovered_cacheaware_pct
code,0.0,0.0,98.63195746425767,92.87327046703565,63.33303528645686,79.80758746313359,1.6977902319607063,0.35969733444388197,1.6977902319607063,79.80758746313359
code,0.5,0.0,97.30149849187941,89.26060179312422,59.340903478941584,78.18446199350748,1.5856971978505379,1.0891267248563616,1.6959246418438223,76.3403645506004
code,0.75,0.0,94.74724147562958,84.71266425924227,48.56525761266469,74.18689521812178,1.4232540456403087,0.32545018019666216,1.527835592545099,71.8012771959921
code,0.9,0.0,87.83886773549997,76.42838569505159,14.747477637080724,74.4950607996983,1.0589723387258798,0.19183934037263342,1.0787501066060678,69.79792417097823
conv,0.0,0.0,91.36056205004017,75.35551333888237,45.996436207405075,91.78220865402174,1.0797324282118337,0.342982069389515,1.0797324282118337,91.78220865402174
conv,0.5,0.0,84.09560948877629,68.84691550163468,35.7896792568684,90.73545314422327,1.0574215079177813,0.11081727685995119,1.106368617355383,84.94444158431509
conv,0.75,0.0,72.55696498970823,59.36595546986345,25.042864791170004,87.48593521239196,1.0467426278564356,0.14880562089010083,1.1196127354857874,74.97866902268856
conv,0.9,0.0,51.393778387354175,42.75485995944557,12.831617326052472,85.47816907948427,1.022686726026327,-0.16445919448966123,1.0774897048508447,66.00570977709934
