workload,target_load,frac_requests_gen_le4,frac_normlat_from_gen_le4,improvement_all_pct,improvement_gen_ge8_pct,windows_improved_gen_ge8,n_windows
code,0.6,0.364969696969697,0.7423204237846385,2.705415650987125,0.7513014678287281,10,11
code,0.75,0.364969696969697,0.7353791082438019,22.883386433372422,11.080458316882137,11,11
code,0.85,0.364969696969697,0.7597812940291366,47.71872776191933,32.395494943899266,11,11
code,0.92,0.364969696969697,0.7862261525810088,62.16736355606091,52.26547476672194,11,11
code,0.98,0.364969696969697,0.808326541266856,66.47213368945036,60.73637346139502,11,11
conv,0.6,0.10928333333333336,0.5172802589535465,0.39868534383881277,0.3357567281681458,20,20
conv,0.75,0.10928333333333336,0.49444370629063555,5.098089411268944,4.521501456937996,20,20
conv,0.85,0.10928333333333336,0.4851254225780012,26.437532184948136,23.589642779498423,20,20
conv,0.92,0.10928333333333336,0.5022907481671255,56.45290442346227,51.412001262974975,20,20
conv,0.98,0.10928333333333336,0.5247979730081257,71.65038944091562,66.11263635001335,20,20
