workload,gen_scale,clamped_frac,prefill_share_pct,prefill_time_share_pct,improvement_pct,oracle_gap_recovered_pct,cb_over_oracle_ratio,predictor_gain_pct,cb_over_cacheaware_oracle_ratio,oracle_gap_recovered_cacheaware_pct
code,1.0,0.0,98.63195746425767,92.87327046703565,63.33303528645686,79.80758746313359,1.6977902319607063,0.35969733444388197,1.6977902319607063,79.80758746313359
code,2.0,0.0,97.3015031761988,88.03996244014002,62.344045275982126,76.52177542922693,1.8636709060357926,1.0311871900553529,1.8636709060357926,76.52177542922693
code,4.0,0.0,94.74722559825358,80.69103812114147,61.90654186062529,74.40685244569815,2.1361921056022735,4.13293639411657,2.1361921056022735,74.40685244569815
code,8.0,0.0,90.0267545791671,68.5102367704704,58.72311244528105,69.69758176339924,2.626395499402584,6.384801209868585,2.626395499402584,69.69758176339924
code,16.0,2.5e-05,81.89352912709224,48.83669440400363,50.46463188458367,54.11532489745304,5.532359409727949,10.656691267278374,5.532359409727949,54.11532489745304
conv,1.0,0.0,91.36056205004017,75.35551333888237,45.996436207405075,91.78220865402174,1.0797324282118337,0.342982069389515,1.0797324282118337,91.78220865402174
conv,2.0,0.0,84.09559931381177,62.295098772896885,50.41414908998098,83.90546011979758,1.2363144445960543,0.4099945345068681,1.2363144445960543,83.90546011979758
conv,4.0,0.0,72.55692398053809,44.47084168519698,56.714742520560705,77.0605891686754,1.6231854295106873,1.3229182163141184,1.6231854295106873,77.0605891686754
conv,8.0,0.0,56.9343426594844,25.478598317077683,64.72547401084552,75.17037050657409,2.5120119588598926,6.306065961029387,2.5120119588598926,75.17037050657409
conv,16.0,0.0,39.79759134102197,11.230539749444617,75.13470432460434,80.38327606211034,3.755751390612181,21.07966161984783,3.755751390612181,80.38327606211034
